trip_id,fare_amount,trip_duration,trip_distance,pickup_hour,day_of_week,weather_condition,payment_type,customer_rating,cancellation_probability
trip_1,51.63,96,32.22,4,4,Snowy,Wallet,1.13,1
trip_2,90.14,31,17.13,18,2,Clear,Card,2.65,0
trip_3,26.01,44,1.76,8,0,Rainy,Cash,3.33,0
trip_4,59.31,9,45.84,22,6,Snowy,Cash,4.46,0
trip_5,63.45,18,25.77,11,0,Clear,Cash,2.56,0
trip_6,13.88,35,34.76,21,5,Rainy,Wallet,4.46,0
trip_7,73.43,94,28.63,8,1,Rainy,Wallet,2.94,0.68
trip_8,41.54,89,38.08,21,4,Snowy,Card,4.08,0.46
trip_9,80.44,112,25.68,23,5,Snowy,Card,4.04,0.53
trip_10,98.37,17,45.43,12,1,Clear,Wallet,3.21,0
trip_11,12.18,96,42.93,2,0,Rainy,Cash,4.7,0.35
trip_12,46.33,49,21.35,8,5,Rainy,Card,3.33,0
trip_13,63.88,13,32.43,19,5,Clear,Wallet,4.59,0
trip_14,72.95,48,2.31,15,5,Clear,Card,2.66,0
trip_15,26.8,42,45.13,22,4,Clear,Cash,1.26,0.78
trip_16,78.84,85,4.29,6,1,Snowy,Card,2.18,0.5
trip_17,49.6,93,37.13,14,5,Rainy,Cash,3.87,0.5
trip_18,72.74,71,2.34,22,2,Clear,Card,4.03,0
trip_19,44.74,118,37.85,1,2,Clear,Card,3.09,0.89
trip_20,79.44,53,10.52,13,0,Rainy,Cash,3.29,0
trip_21,73.18,31,47.76,7,0,Clear,Wallet,1.85,0.56
trip_22,86.73,64,26.55,15,3,Rainy,Wallet,3.73,0.11
trip_23,33.27,99,29.88,15,3,Snowy,Card,3.46,0.62
trip_24,35.97,95,33.27,5,1,Snowy,Card,4.31,0.37
trip_25,64.6,86,41.88,9,4,Rainy,Card,2.05,1
trip_26,20.05,92,35,20,4,Rainy,Card,1.13,1
trip_27,9.2,43,38.39,17,3,Rainy,Cash,3.93,0
trip_28,62.7,5,32.07,20,5,Snowy,Wallet,1.45,0.33
trip_29,8.71,48,1.41,19,1,Rainy,Cash,3.29,0
trip_30,22.16,90,20.03,0,2,Clear,Card,1.61,0.78
trip_31,57.73,120,2.07,5,6,Snowy,Cash,2.04,0.85
trip_32,37.78,118,45.72,8,6,Clear,Wallet,2.44,1
trip_33,58.51,89,8.4,18,0,Clear,Wallet,3.29,0.11
trip_34,96.28,45,24.9,21,0,Clear,Card,1.38,0.51
trip_35,36.68,76,34.28,4,5,Snowy,Card,1.83,0.94
trip_36,69.12,46,19.41,0,6,Snowy,Card,2.49,0.24
trip_37,18.12,32,27.74,15,2,Snowy,Wallet,1.81,0.4
trip_38,66.61,87,36.61,21,3,Clear,Cash,3.64,0.41
trip_39,41.71,33,30.79,15,5,Snowy,Cash,2.43,0.28
trip_40,13.06,6,48.61,17,6,Rainy,Cash,2.29,0.26
trip_41,33.76,20,32.2,15,6,Rainy,Wallet,1.53,0.39
trip_42,87.51,68,44.22,11,1,Snowy,Wallet,2.52,0.83
trip_43,54.57,80,19.17,17,4,Rainy,Wallet,3.91,0.09
trip_44,27.31,88,46.66,19,6,Clear,Cash,3.76,0.52
trip_45,39.44,38,17.27,22,0,Snowy,Card,3.74,0
trip_46,79.86,7,45.41,10,1,Clear,Wallet,2.73,0.02
trip_47,32.24,53,13.36,2,6,Clear,Card,1.49,0.35
trip_48,5.73,5,41.94,14,6,Snowy,Cash,4.45,0
trip_49,87.43,75,8.17,22,4,Snowy,Wallet,2.13,0.48
trip_50,80.19,36,16.97,3,5,Rainy,Card,1.63,0.32
trip_51,83.92,104,35.66,17,2,Rainy,Cash,1.32,1
trip_52,5.48,25,45.5,15,0,Snowy,Cash,2.56,0.37
trip_53,82,111,24.4,20,3,Snowy,Wallet,2.65,0.92
trip_54,59.3,87,38.76,3,6,Snowy,Cash,4.39,0.37
trip_55,12.54,98,11.24,19,3,Clear,Wallet,1.44,0.77
trip_56,89,67,26.11,22,0,Clear,Cash,1.65,0.66
trip_57,11.24,55,17.48,19,4,Clear,Cash,3.99,0
trip_58,60.77,52,30.27,0,0,Snowy,Wallet,3.74,0.08
trip_59,70.1,79,3.53,9,1,Snowy,Card,2.09,0.45
trip_60,61.74,46,19.42,21,3,Snowy,Wallet,4.86,0
trip_61,30.27,43,38.74,10,4,Clear,Wallet,2.12,0.44
trip_62,10.53,91,46.67,0,1,Rainy,Cash,3.56,0.7
trip_63,70.28,89,4.76,13,3,Rainy,Cash,1.39,0.73
trip_64,46.57,104,10.22,10,1,Rainy,Card,4.44,0.03
trip_65,61.09,120,2.55,13,4,Rainy,Wallet,2.95,0.53
trip_66,91.98,35,14.88,17,2,Clear,Wallet,1.83,0.12
trip_67,89.66,37,5.2,23,3,Rainy,Cash,1.23,0.27
trip_68,20.19,85,8.73,21,2,Rainy,Card,4.66,0
trip_69,64.6,71,32.07,23,5,Clear,Wallet,3.34,0.27
trip_70,53.79,55,12.54,23,6,Snowy,Cash,2.9,0.09
trip_71,50.85,107,49.57,7,4,Snowy,Cash,4.42,0.71
trip_72,74.62,75,45.54,1,1,Clear,Cash,2.02,0.91
trip_73,72.4,32,19.69,17,6,Snowy,Wallet,1.6,0.37
trip_74,37.79,19,27.27,17,5,Clear,Cash,3.58,0
trip_75,77.38,106,9.67,23,4,Clear,Wallet,4.76,0
trip_76,41.95,92,9.92,8,6,Clear,Card,1.92,0.56
trip_77,90.86,34,24.31,16,2,Rainy,Cash,2.71,0.09
trip_78,39.76,99,5.84,20,6,Rainy,Card,1.34,0.84
trip_79,61.03,88,30.91,8,4,Snowy,Card,3.5,0.52
trip_80,9.52,91,40.14,9,2,Clear,Wallet,3.29,0.58
trip_81,95.95,43,36.56,8,6,Snowy,Cash,2.42,0.5
trip_82,59.54,35,11.49,20,1,Clear,Card,1.85,0.05
trip_83,6.96,39,13.15,9,4,Clear,Wallet,1.51,0.19
trip_84,20.34,58,35.29,10,1,Clear,Cash,4.09,0
trip_85,87.18,83,31.47,6,0,Clear,Card,1.32,1
trip_86,63.07,19,7.76,0,0,Snowy,Wallet,4.4,0
trip_87,62.81,47,36.7,17,1,Snowy,Card,3.82,0.11
trip_88,53.45,91,41.91,9,6,Snowy,Cash,4.24,0.49
trip_89,73.6,76,49.53,15,4,Clear,Wallet,1.77,1
trip_90,94.76,86,16.29,21,4,Clear,Card,1.46,0.76
trip_91,41.73,29,42.62,5,2,Rainy,Wallet,4.67,0
trip_92,6.21,63,25.56,21,3,Clear,Card,3.8,0
trip_93,29.02,113,32.36,0,1,Rainy,Card,3.03,0.87
trip_94,31.77,110,22.8,21,2,Snowy,Wallet,4.18,0.41
trip_95,54.82,23,4.13,12,6,Rainy,Wallet,1.58,0
trip_96,67.22,60,42.71,2,2,Snowy,Cash,4.26,0.19
trip_97,9.29,10,11.39,5,2,Snowy,Wallet,2.45,0
trip_98,26,19,9.31,12,6,Rainy,Cash,3.25,0
trip_99,15.12,39,34.11,3,3,Clear,Cash,3.71,0
trip_100,29.15,115,37.86,2,0,Clear,Card,3.24,0.81
trip_101,87.08,41,26.92,19,2,Clear,Wallet,3.22,0
trip_102,39.08,104,12.34,12,0,Rainy,Card,3.84,0.24
trip_103,55.73,117,26.62,0,1,Rainy,Cash,3.25,0.77
trip_104,87.05,112,32.74,0,3,Snowy,Wallet,1.65,1
trip_105,9.61,25,16.19,23,1,Clear,Cash,4.36,0
trip_106,17.51,97,8.97,17,3,Snowy,Cash,2.45,0.58
trip_107,50.48,54,5.53,7,5,Snowy,Cash,2.61,0.07
trip_108,28.2,77,39.63,19,4,Rainy,Cash,3.23,0.56
trip_109,45.85,22,8.59,6,5,Snowy,Card,3.41,0
trip_110,31.44,59,37.9,4,3,Snowy,Card,4.02,0.17
trip_111,18.37,66,44.65,3,3,Rainy,Cash,1.01,1
trip_112,87.17,109,11.14,12,4,Rainy,Card,1.05,1
trip_113,63.62,31,21.27,9,0,Snowy,Wallet,3.47,0
trip_114,7.96,76,13.81,12,2,Snowy,Card,1.05,0.86
trip_115,23.23,45,33.51,6,3,Snowy,Wallet,3.66,0.07
trip_116,93.94,51,22.23,7,1,Snowy,Cash,2.79,0.25
trip_117,99.28,12,13.59,17,4,Clear,Wallet,3.7,0
trip_118,31.42,57,46.72,17,1,Rainy,Card,4.73,0.02
trip_119,54.54,71,33.28,10,6,Snowy,Card,2.1,0.81
trip_120,82.46,58,17.99,11,3,Clear,Wallet,3.37,0
trip_121,24.16,109,9.02,18,6,Snowy,Cash,4.56,0.07
trip_122,48.7,46,23.2,5,4,Snowy,Wallet,2.13,0.39
trip_123,66.23,27,8.07,6,0,Rainy,Wallet,3.71,0
trip_124,6.45,53,49.5,16,1,Rainy,Card,1.54,0.96
trip_125,5.76,38,2.87,17,3,Snowy,Card,1.66,0.13
trip_126,83.84,64,10.35,7,4,Rainy,Card,2.48,0.24
trip_127,9.06,97,23.58,13,0,Clear,Card,1.02,1
trip_128,9.15,17,49.13,18,1,Snowy,Card,3.45,0.08
trip_129,94.92,40,41.95,19,6,Clear,Wallet,3.66,0.03
trip_130,26.36,65,36.54,10,2,Clear,Cash,4.56,0
trip_131,53.34,109,28.34,8,3,Clear,Wallet,4.89,0.12
trip_132,82.32,31,43.16,0,6,Snowy,Card,4.73,0
trip_133,24.95,75,12.12,19,2,Clear,Wallet,3.51,0
trip_134,33.6,117,28.28,12,4,Snowy,Card,2.07,1
trip_135,77.08,108,33.64,2,0,Clear,Wallet,4.11,0.44
trip_136,71.19,59,43.44,4,6,Rainy,Cash,1.95,0.84
trip_137,34.97,43,22.53,18,0,Snowy,Cash,2.2,0.33
trip_138,55.14,63,33.48,15,3,Snowy,Card,4.05,0.15
trip_139,87.81,77,26.64,22,6,Snowy,Card,1.48,0.97
trip_140,32.1,80,28.26,2,4,Snowy,Wallet,3.6,0.36
trip_141,60.15,89,41.21,14,4,Rainy,Card,2.54,0.93
trip_142,80.34,114,9.92,13,6,Clear,Cash,4.65,0
trip_143,11.09,84,38.87,8,4,Snowy,Cash,1.82,1
trip_144,48.51,55,13.5,7,4,Snowy,Cash,3.1,0.05
trip_145,41.25,69,44.87,3,5,Snowy,Card,1.03,1
trip_146,22.78,109,35.14,13,1,Rainy,Cash,4.26,0.5
trip_147,69.19,28,2.47,15,1,Snowy,Card,1.05,0.24
trip_148,79.77,49,40.92,23,2,Rainy,Wallet,2.85,0.44
trip_149,68.64,41,47.77,19,6,Snowy,Wallet,4.16,0.11
trip_150,85.07,92,23.19,4,4,Rainy,Card,3.43,0.43
trip_151,97.25,87,40.49,22,3,Rainy,Cash,2.56,0.91
trip_152,50.23,30,44.66,12,3,Clear,Cash,3.95,0
trip_153,31.95,46,44.83,18,4,Rainy,Wallet,2.88,0.43
trip_154,51.81,99,19.72,1,5,Clear,Cash,1.09,1
trip_155,54.61,34,36.03,4,1,Snowy,Cash,3.95,0
trip_156,78.76,32,38.68,13,3,Rainy,Card,4.02,0
trip_157,99.18,82,24.89,9,1,Clear,Cash,2.49,0.55
trip_158,13.43,92,49.75,21,2,Clear,Card,4.57,0.35
trip_159,85.71,27,8.15,7,1,Rainy,Wallet,4.93,0
trip_160,76.56,31,9.58,20,3,Clear,Cash,1.49,0.09
trip_161,29.01,102,1.62,3,0,Rainy,Card,4.28,0
trip_162,19.22,101,15.94,2,2,Rainy,Wallet,1.49,0.96
trip_163,33.03,83,8.07,9,3,Snowy,Wallet,2.33,0.47
trip_164,37.36,67,36.28,0,1,Rainy,Wallet,1.8,0.84
trip_165,14.69,113,35.24,19,4,Snowy,Card,4.93,0.39
trip_166,5.02,101,21.36,19,0,Rainy,Wallet,1.27,1
trip_167,92.23,47,15.47,22,5,Clear,Cash,1.42,0.37
trip_168,31.25,84,18.37,16,3,Rainy,Card,1.71,0.77
trip_169,81.36,37,15.68,22,3,Rainy,Wallet,3.36,0
trip_170,65.25,57,20.47,0,2,Clear,Wallet,2.21,0.3
trip_171,70.15,97,1.31,22,2,Rainy,Wallet,4.37,0
trip_172,80.95,38,7.84,9,2,Snowy,Wallet,1.55,0.27
trip_173,70.43,36,47.43,4,1,Clear,Wallet,4.85,0
trip_174,97.93,56,13.63,7,4,Clear,Card,2.42,0.14
trip_175,45.21,18,12.76,22,6,Snowy,Card,4.5,0
trip_176,61.32,44,13.17,20,0,Snowy,Cash,1.02,0.56
trip_177,54.85,37,11.42,4,4,Clear,Card,3.58,0
trip_178,82.84,40,14,14,0,Rainy,Wallet,4.93,0
trip_179,68.55,36,14.52,8,4,Snowy,Wallet,1.63,0.32
trip_180,77.6,47,23.23,12,4,Snowy,Cash,4.35,0
trip_181,93.3,36,37.48,22,1,Snowy,Wallet,1.85,0.61
trip_182,32,91,5.5,14,5,Clear,Wallet,3.79,0
trip_183,97.77,45,41.69,19,5,Rainy,Card,1.9,0.71
trip_184,98.81,24,16.87,16,6,Snowy,Wallet,1.55,0.28
trip_185,54.14,11,30.9,3,2,Rainy,Card,2.71,0
trip_186,48.01,8,6.14,2,5,Clear,Card,4.16,0
trip_187,48.95,85,33.91,6,0,Snowy,Cash,1.34,1
trip_188,81.87,118,7.68,9,4,Snowy,Wallet,2.27,0.85
trip_189,7.36,6,43.12,20,5,Snowy,Wallet,2.8,0.07
trip_190,33.48,32,6.77,18,0,Snowy,Card,1.81,0.09
trip_191,28.52,46,7.01,4,1,Rainy,Card,2.74,0
trip_192,93.31,13,42.34,22,2,Clear,Card,4.7,0
trip_193,27.75,13,34.36,23,1,Snowy,Wallet,1.56,0.39
trip_194,47.67,90,1.38,20,6,Rainy,Wallet,3.58,0.02
trip_195,50.62,93,35.23,19,3,Clear,Cash,3.8,0.39
trip_196,55.26,48,10.67,18,2,Snowy,Cash,3.98,0
trip_197,8.65,32,40.93,15,4,Clear,Cash,1.65,0.49
trip_198,52.28,91,28.65,3,0,Rainy,Cash,3.56,0.45
trip_199,75.27,99,27.51,17,5,Rainy,Cash,3.29,0.6
trip_200,26.36,24,44.05,17,1,Rainy,Card,3.06,0.14
trip_201,89.44,14,9.35,14,4,Rainy,Wallet,3.52,0
trip_202,77.13,42,33.94,4,2,Snowy,Cash,2.86,0.31
trip_203,71.62,87,9.29,0,2,Clear,Card,2.6,0.32
trip_204,76.36,67,47.55,7,2,Clear,Cash,3.87,0.31
trip_205,54.77,106,11.09,15,6,Rainy,Wallet,3.17,0.45
trip_206,40.45,12,28.76,0,1,Rainy,Wallet,2.09,0.09
trip_207,8.67,22,31.1,18,6,Clear,Card,3.74,0
trip_208,49.12,60,43.91,20,2,Snowy,Card,2.77,0.65
trip_209,82.74,8,45.3,18,0,Rainy,Cash,3.44,0
trip_210,12.08,55,39.88,16,3,Rainy,Wallet,4.48,0
trip_211,56.9,96,34.9,18,0,Snowy,Wallet,1.38,1
trip_212,48.78,28,27.5,2,2,Rainy,Cash,2.2,0.21
trip_213,80.81,25,21.22,2,4,Clear,Cash,4.84,0
trip_214,37.95,103,15.83,8,1,Snowy,Wallet,3.32,0.49
trip_215,33.13,37,12.57,2,3,Rainy,Card,4.28,0
trip_216,64.22,75,12.41,18,1,Snowy,Wallet,3.1,0.24
trip_217,91.89,77,37.23,1,4,Snowy,Wallet,3.17,0.62
trip_218,7.74,33,20.56,1,5,Rainy,Card,1.56,0.32
trip_219,19.32,13,38.33,6,3,Snowy,Wallet,4.64,0
trip_220,62.93,97,12.65,17,2,Snowy,Cash,3.36,0.38
trip_221,22.65,85,9.17,23,6,Rainy,Wallet,2.51,0.4
trip_222,87.54,10,40.98,6,1,Clear,Wallet,4.12,0
trip_223,42.47,62,3.32,3,2,Rainy,Wallet,2.03,0.23
trip_224,61.55,47,30.59,6,5,Rainy,Wallet,2.81,0.27
trip_225,99.37,21,15.7,13,3,Rainy,Cash,3.69,0
trip_226,52.58,107,39.46,11,3,Clear,Card,2.67,0.94
trip_227,91.14,37,45.57,4,6,Rainy,Card,4.11,0.02
trip_228,17.62,49,1.38,14,2,Rainy,Wallet,4.15,0
trip_229,49.15,80,35.39,18,5,Snowy,Wallet,4.16,0.31
trip_230,15.08,25,7.45,7,4,Clear,Wallet,2.48,0
trip_231,5.05,117,25.06,14,0,Rainy,Card,2.24,1
trip_232,81.74,29,17.2,6,3,Rainy,Wallet,3.5,0
trip_233,59.62,71,11.38,2,3,Snowy,Wallet,1.76,0.58
trip_234,37.74,101,42.24,7,2,Snowy,Wallet,4.28,0.58
trip_235,55.96,37,29.79,23,1,Clear,Wallet,2.4,0.18
trip_236,19.07,103,6.15,12,4,Rainy,Cash,4.68,0
trip_237,93.57,12,31.92,23,2,Clear,Cash,4.36,0
trip_238,17.16,36,37.59,19,4,Clear,Card,4.53,0
trip_239,69.11,43,21.16,11,5,Clear,Cash,1.69,0.32
trip_240,83.38,112,4.88,5,3,Rainy,Cash,4.19,0.13
trip_241,52.94,92,13.26,15,6,Clear,Wallet,3.73,0.08
trip_242,39.41,33,41.83,15,4,Snowy,Cash,1.04,0.87
trip_243,10.92,12,8.18,23,0,Snowy,Cash,2.49,0
trip_244,74.32,114,16.88,18,2,Rainy,Wallet,1.2,1
trip_245,47.92,52,8.41,17,4,Clear,Card,4.1,0
trip_246,65.51,110,14.35,23,5,Rainy,Card,3.47,0.46
trip_247,89.88,88,8.15,2,1,Snowy,Card,4.32,0
trip_248,66.51,77,17.04,10,4,Clear,Cash,4.29,0
trip_249,31.65,90,4.87,0,0,Snowy,Wallet,3.36,0.18
trip_250,23,37,28.29,14,3,Snowy,Card,2.85,0.15
trip_251,93.68,50,21.26,21,2,Rainy,Cash,1.26,0.64
trip_252,5.49,104,32.71,18,0,Rainy,Cash,4.47,0.34
trip_253,75.15,61,49.96,16,0,Snowy,Wallet,3.36,0.59
trip_254,44.4,38,30.84,14,6,Rainy,Wallet,4.04,0
trip_255,64.58,8,5.76,20,5,Clear,Wallet,3.03,0
trip_256,34.6,70,34.52,13,1,Rainy,Wallet,1.35,0.98
trip_257,93.72,95,44.53,22,6,Rainy,Wallet,3.46,0.78
trip_258,46.4,21,11.99,5,0,Snowy,Card,4.75,0
trip_259,76.5,91,36.12,3,5,Rainy,Wallet,1.73,1
trip_260,31.62,75,1.41,2,6,Rainy,Wallet,4.03,0
trip_261,64.85,108,28.39,9,3,Clear,Card,2.44,0.86
trip_262,92.14,109,15.68,0,0,Snowy,Wallet,2.93,0.69
trip_263,87.15,32,40.39,4,2,Snowy,Cash,2.05,0.56
trip_264,49.98,92,13.34,20,2,Clear,Cash,2.77,0.36
trip_265,92.4,54,14.41,18,1,Snowy,Card,2.83,0.15
trip_266,41.06,83,4.89,8,1,Clear,Cash,3.72,0
trip_267,22.45,40,27.76,0,6,Rainy,Card,1.47,0.54
trip_268,43.12,23,32.89,20,3,Clear,Card,2,0.19
trip_269,87.27,120,13.61,14,5,Clear,Wallet,4.39,0.18
trip_270,93.62,65,12.35,3,1,Rainy,Wallet,3.71,0
trip_271,95.72,88,27.38,2,2,Rainy,Wallet,1.16,1
trip_272,59.88,26,42.36,15,6,Clear,Wallet,4.02,0
trip_273,12.62,55,46.78,1,6,Rainy,Cash,1.26,1
trip_274,25.29,50,35.03,21,1,Snowy,Cash,1.43,0.81
trip_275,56.33,110,6.95,16,2,Rainy,Card,3.68,0.28
trip_276,89.51,114,25.56,23,1,Clear,Cash,1.46,1
trip_277,7.51,74,34.82,2,2,Clear,Cash,3.67,0.22
trip_278,44.62,13,14.36,4,2,Snowy,Card,1.37,0.16
trip_279,37.28,11,29.54,23,1,Rainy,Wallet,2.7,0
trip_280,26.19,33,23.36,12,4,Clear,Cash,2.35,0.04
trip_281,74.71,92,26.99,13,1,Clear,Wallet,1.93,0.83
trip_282,99.19,45,3.74,12,1,Clear,Card,3.36,0
trip_283,16.49,115,14.83,16,6,Snowy,Cash,2.11,0.95
